Date/Hour (PST),Year,Month,Day,Hour Beginning,Hour Ending,PG&E Hourly Load,PG&E Hourly PV Generation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 0:00,2027,1,1,0,1," 11,189 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 1:00,2027,1,1,1,2," 10,763 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 2:00,2027,1,1,2,3," 10,556 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 3:00,2027,1,1,3,4," 10,373 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 4:00,2027,1,1,4,5," 10,334 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 5:00,2027,1,1,5,6," 10,409 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 6:00,2027,1,1,6,7," 10,640 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 7:00,2027,1,1,7,8," 10,744 ",50.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 8:00,2027,1,1,8,9," 10,972 ",778.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 9:00,2027,1,1,9,10," 11,227 ",1794.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 10:00,2027,1,1,10,11," 11,368 ",2514.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 11:00,2027,1,1,11,12," 11,347 ",3045.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 12:00,2027,1,1,12,13," 11,235 ",3277.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 13:00,2027,1,1,13,14," 11,119 ",3140.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 14:00,2027,1,1,14,15," 11,037 ",2558.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 15:00,2027,1,1,15,16," 11,136 ",1534.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 16:00,2027,1,1,16,17," 11,722 ",233.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 17:00,2027,1,1,17,18," 13,488 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 18:00,2027,1,1,18,19," 13,943 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 19:00,2027,1,1,19,20," 13,749 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 20:00,2027,1,1,20,21," 13,429 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 21:00,2027,1,1,21,22," 12,860 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 22:00,2027,1,1,22,23," 12,136 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2027 23:00,2027,1,1,23,24," 11,162 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 0:00,2027,1,2,0,1," 11,307 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 1:00,2027,1,2,1,2," 10,858 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 2:00,2027,1,2,2,3," 10,672 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 3:00,2027,1,2,3,4," 10,619 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 4:00,2027,1,2,4,5," 10,653 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 5:00,2027,1,2,5,6," 10,840 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 6:00,2027,1,2,6,7," 11,426 ",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 7:00,2027,1,2,7,8," 12,001 ",50.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 8:00,2027,1,2,8,9," 12,248 ",778.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 9:00,2027,1,2,9,10," 12,604 ",1794.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 10:00,2027,1,2,10,11," 12,651 ",2514.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 11:00,2027,1,2,11,12," 12,547 ",3045.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 12:00,2027,1,2,12,13," 12,400 ",3277.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2027 13:00,2027,1,2,13,14," 12,205 ",3140.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
