Date/Hour (PST),Year,Month,Day,Hour Beginning,Hour Ending,PG&E Hourly Load,PG&E Hourly PV Generation 
1/1/2017 0:00,2017,1,1,0,1," 10,085 ",0.00
1/1/2017 1:00,2017,1,1,1,2," 9,696 ",0.00
1/1/2017 2:00,2017,1,1,2,3," 9,512 ",0.00
1/1/2017 3:00,2017,1,1,3,4," 9,349 ",0.00
1/1/2017 4:00,2017,1,1,4,5," 9,314 ",0.00
1/1/2017 5:00,2017,1,1,5,6," 9,381 ",0.00
1/1/2017 6:00,2017,1,1,6,7," 9,587 ",0.00
1/1/2017 7:00,2017,1,1,7,8," 9,681 ",18.65
1/1/2017 8:00,2017,1,1,8,9," 9,888 ",284.85
1/1/2017 9:00,2017,1,1,9,10," 10,119 ",656.30
1/1/2017 10:00,2017,1,1,10,11," 10,249 ",919.00
1/1/2017 11:00,2017,1,1,11,12," 10,230 ",1112.30
1/1/2017 12:00,2017,1,1,12,13," 10,127 ",1196.29
1/1/2017 13:00,2017,1,1,13,14," 10,020 ",1146.68
1/1/2017 14:00,2017,1,1,14,15," 9,946 ",934.13
1/1/2017 15:00,2017,1,1,15,16," 10,036 ",560.51
1/1/2017 16:00,2017,1,1,16,17," 10,563 ",85.08
1/1/2017 17:00,2017,1,1,17,18," 12,157 ",0.00
1/1/2017 18:00,2017,1,1,18,19," 12,570 ",0.00
1/1/2017 19:00,2017,1,1,19,20," 12,394 ",0.00
1/1/2017 20:00,2017,1,1,20,21," 12,100 ",0.00
1/1/2017 21:00,2017,1,1,21,22," 11,589 ",0.00
1/1/2017 22:00,2017,1,1,22,23," 10,938 ",0.00
1/1/2017 23:00,2017,1,1,23,24," 10,059 ",0.00
1/2/2017 0:00,2017,1,2,0,1," 9,592 ",0.00
1/2/2017 1:00,2017,1,2,1,2," 9,328 ",0.00
1/2/2017 2:00,2017,1,2,2,3," 9,204 ",0.00
1/2/2017 3:00,2017,1,2,3,4," 9,173 ",0.00
1/2/2017 4:00,2017,1,2,4,5," 9,284 ",0.00
1/2/2017 5:00,2017,1,2,5,6," 9,540 ",0.00
1/2/2017 6:00,2017,1,2,6,7," 9,964 ",0.00
1/2/2017 7:00,2017,1,2,7,8," 10,482 ",18.65
