Date/Hour (PST),Year,Month,Day,Hour Beginning,Hour Ending,SCE Hourly Load,SCE Hourly PV Generation
1/1/2027 0:00,2027,1,1,0,1," 11,595 ",0.00
1/1/2027 1:00,2027,1,1,1,2," 11,189 ",0.00
1/1/2027 2:00,2027,1,1,2,3," 10,777 ",0.00
1/1/2027 3:00,2027,1,1,3,4," 10,528 ",0.00
1/1/2027 4:00,2027,1,1,4,5," 10,499 ",0.00
1/1/2027 5:00,2027,1,1,5,6," 10,659 ",0.00
1/1/2027 6:00,2027,1,1,6,7," 10,840 ",0.42
1/1/2027 7:00,2027,1,1,7,8," 10,486 ",248.73
1/1/2027 8:00,2027,1,1,8,9," 10,949 ",1341.54
1/1/2027 9:00,2027,1,1,9,10," 11,290 ",2328.33
1/1/2027 10:00,2027,1,1,10,11," 11,574 ",2954.95
1/1/2027 11:00,2027,1,1,11,12," 11,680 ",3233.02
1/1/2027 12:00,2027,1,1,12,13," 11,660 ",3250.55
1/1/2027 13:00,2027,1,1,13,14," 11,591 ",2947.68
1/1/2027 14:00,2027,1,1,14,15," 11,516 ",2311.80
1/1/2027 15:00,2027,1,1,15,16," 11,508 ",1326.79
1/1/2027 16:00,2027,1,1,16,17," 11,897 ",165.17
1/1/2027 17:00,2027,1,1,17,18," 13,385 ",5.64
1/1/2027 18:00,2027,1,1,18,19," 13,738 ",0.00
1/1/2027 19:00,2027,1,1,19,20," 13,624 ",0.00
1/1/2027 20:00,2027,1,1,20,21," 13,375 ",0.00
1/1/2027 21:00,2027,1,1,21,22," 12,819 ",0.00
1/1/2027 22:00,2027,1,1,22,23," 12,246 ",0.00
1/1/2027 23:00,2027,1,1,23,24," 11,367 ",0.00
1/2/2027 0:00,2027,1,2,0,1," 11,457 ",0.00
1/2/2027 1:00,2027,1,2,1,2," 10,908 ",0.00
1/2/2027 2:00,2027,1,2,2,3," 10,525 ",0.00
1/2/2027 3:00,2027,1,2,3,4," 10,269 ",0.00
1/2/2027 4:00,2027,1,2,4,5," 10,312 ",0.00
1/2/2027 5:00,2027,1,2,5,6," 10,537 ",0.00
1/2/2027 6:00,2027,1,2,6,7," 10,455 ",0.42
1/2/2027 7:00,2027,1,2,7,8," 10,737 ",248.73
1/2/2027 8:00,2027,1,2,8,9," 11,270 ",1341.54
1/2/2027 9:00,2027,1,2,9,10," 11,866 ",2328.33
1/2/2027 10:00,2027,1,2,10,11," 12,200 ",2954.95
1/2/2027 11:00,2027,1,2,11,12," 12,290 ",3233.02
1/2/2027 12:00,2027,1,2,12,13," 12,254 ",3250.55
1/2/2027 13:00,2027,1,2,13,14," 12,163 ",2947.68
1/2/2027 14:00,2027,1,2,14,15," 12,074 ",2311.80
1/2/2027 15:00,2027,1,2,15,16," 12,119 ",1326.79
1/2/2027 16:00,2027,1,2,16,17," 12,662 ",165.17
1/2/2027 17:00,2027,1,2,17,18," 14,141 ",5.64
1/2/2027 18:00,2027,1,2,18,19," 14,357 ",0.00
1/2/2027 19:00,2027,1,2,19,20," 14,156 ",0.00
1/2/2027 20:00,2027,1,2,20,21," 13,906 ",0.00
1/2/2027 21:00,2027,1,2,21,22," 13,395 ",0.00
1/2/2027 22:00,2027,1,2,22,23," 12,591 ",0.00
1/2/2027 23:00,2027,1,2,23,24," 11,959 ",0.00
1/3/2027 0:00,2027,1,3,0,1," 11,321 ",0.00
1/3/2027 1:00,2027,1,3,1,2," 10,990 ",0.00
1/3/2027 2:00,2027,1,3,2,3," 10,694 ",0.00
1/3/2027 3:00,2027,1,3,3,4," 10,551 ",0.00
1/3/2027 4:00,2027,1,3,4,5," 10,568 ",0.00
1/3/2027 5:00,2027,1,3,5,6," 10,739 ",0.00
1/3/2027 6:00,2027,1,3,6,7," 10,757 ",0.42
1/3/2027 7:00,2027,1,3,7,8," 10,703 ",248.73
1/3/2027 8:00,2027,1,3,8,9," 11,072 ",1341.54
1/3/2027 9:00,2027,1,3,9,10," 11,451 ",2328.33
1/3/2027 10:00,2027,1,3,10,11," 11,718 ",2954.95
1/3/2027 11:00,2027,1,3,11,12," 11,796 ",3233.02
1/3/2027 12:00,2027,1,3,12,13," 11,783 ",3250.55
1/3/2027 13:00,2027,1,3,13,14," 11,707 ",2947.68
1/3/2027 14:00,2027,1,3,14,15," 11,697 ",2311.80
1/3/2027 15:00,2027,1,3,15,16," 11,720 ",1326.79
1/3/2027 16:00,2027,1,3,16,17," 12,193 ",165.17
1/3/2027 17:00,2027,1,3,17,18," 14,044 ",5.64
1/3/2027 18:00,2027,1,3,18,19," 14,559 ",0.00
1/3/2027 19:00,2027,1,3,19,20," 14,570 ",0.00
1/3/2027 20:00,2027,1,3,20,21," 14,286 ",0.00
1/3/2027 21:00,2027,1,3,21,22," 13,651 ",0.00
1/3/2027 22:00,2027,1,3,22,23," 12,732 ",0.00
1/3/2027 23:00,2027,1,3,23,24," 11,980 ",0.00
1/4/2027 0:00,2027,1,4,0,1," 11,590 ",0.00
1/4/2027 1:00,2027,1,4,1,2," 11,227 ",0.00
1/4/2027 2:00,2027,1,4,2,3," 11,065 ",0.00
1/4/2027 3:00,2027,1,4,3,4," 11,097 ",0.00
1/4/2027 4:00,2027,1,4,4,5," 11,489 ",0.00
1/4/2027 5:00,2027,1,4,5,6," 12,398 ",0.00
1/4/2027 6:00,2027,1,4,6,7," 13,441 ",0.42
1/4/2027 7:00,2027,1,4,7,8," 14,008 ",248.73
1/4/2027 8:00,2027,1,4,8,9," 14,376 ",1341.54
1/4/2027 9:00,2027,1,4,9,10," 14,518 ",2328.33
1/4/2027 10:00,2027,1,4,10,11," 14,542 ",2954.95
1/4/2027 11:00,2027,1,4,11,12," 14,500 ",3233.02
1/4/2027 12:00,2027,1,4,12,13," 14,390 ",3250.55
1/4/2027 13:00,2027,1,4,13,14," 14,198 ",2947.68
1/4/2027 14:00,2027,1,4,14,15," 14,021 ",2311.80
1/4/2027 15:00,2027,1,4,15,16," 13,911 ",1326.79
1/4/2027 16:00,2027,1,4,16,17," 14,210 ",165.17
1/4/2027 17:00,2027,1,4,17,18," 15,917 ",5.64
1/4/2027 18:00,2027,1,4,18,19," 16,234 ",0.00
1/4/2027 19:00,2027,1,4,19,20," 16,049 ",0.00
1/4/2027 20:00,2027,1,4,20,21," 15,559 ",0.00
1/4/2027 21:00,2027,1,4,21,22," 14,548 ",0.00
1/4/2027 22:00,2027,1,4,22,23," 13,309 ",0.00
1/4/2027 23:00,2027,1,4,23,24," 12,318 ",0.00
1/5/2027 0:00,2027,1,5,0,1," 11,902 ",0.00
1/5/2027 1:00,2027,1,5,1,2," 11,435 ",0.00
1/5/2027 2:00,2027,1,5,2,3," 11,194 ",0.00
1/5/2027 3:00,2027,1,5,3,4," 11,195 ",0.00
1/5/2027 4:00,2027,1,5,4,5," 11,563 ",0.00
1/5/2027 5:00,2027,1,5,5,6," 12,418 ",0.00
1/5/2027 6:00,2027,1,5,6,7," 13,470 ",0.42
1/5/2027 7:00,2027,1,5,7,8," 14,114 ",248.73
1/5/2027 8:00,2027,1,5,8,9," 14,494 ",1341.54
1/5/2027 9:00,2027,1,5,9,10," 14,617 ",2328.33
1/5/2027 10:00,2027,1,5,10,11," 14,715 ",2954.95
1/5/2027 11:00,2027,1,5,11,12," 14,540 ",3233.02
1/5/2027 12:00,2027,1,5,12,13," 14,345 ",3250.55
1/5/2027 13:00,2027,1,5,13,14," 14,249 ",2947.68
1/5/2027 14:00,2027,1,5,14,15," 14,002 ",2311.80
1/5/2027 15:00,2027,1,5,15,16," 13,826 ",1326.79
1/5/2027 16:00,2027,1,5,16,17," 14,031 ",165.17
1/5/2027 17:00,2027,1,5,17,18," 15,568 ",5.64
1/5/2027 18:00,2027,1,5,18,19," 15,869 ",0.00
1/5/2027 19:00,2027,1,5,19,20," 15,648 ",0.00
1/5/2027 20:00,2027,1,5,20,21," 15,274 ",0.00
1/5/2027 21:00,2027,1,5,21,22," 14,371 ",0.00
1/5/2027 22:00,2027,1,5,22,23," 13,155 ",0.00
1/5/2027 23:00,2027,1,5,23,24," 12,288 ",0.00
1/6/2027 0:00,2027,1,6,0,1," 11,847 ",0.00
1/6/2027 1:00,2027,1,6,1,2," 11,386 ",0.00
1/6/2027 2:00,2027,1,6,2,3," 11,143 ",0.00
1/6/2027 3:00,2027,1,6,3,4," 11,104 ",0.00
1/6/2027 4:00,2027,1,6,4,5," 11,443 ",0.00
1/6/2027 5:00,2027,1,6,5,6," 12,299 ",0.00
1/6/2027 6:00,2027,1,6,6,7," 13,307 ",0.42
1/6/2027 7:00,2027,1,6,7,8," 13,939 ",248.73
1/6/2027 8:00,2027,1,6,8,9," 14,177 ",1341.54
1/6/2027 9:00,2027,1,6,9,10," 14,362 ",2328.33
1/6/2027 10:00,2027,1,6,10,11," 14,474 ",2954.95
1/6/2027 11:00,2027,1,6,11,12," 14,445 ",3233.02
1/6/2027 12:00,2027,1,6,12,13," 14,338 ",3250.55
1/6/2027 13:00,2027,1,6,13,14," 14,285 ",2947.68
1/6/2027 14:00,2027,1,6,14,15," 14,236 ",2311.80
1/6/2027 15:00,2027,1,6,15,16," 14,006 ",1326.79
1/6/2027 16:00,2027,1,6,16,17," 14,068 ",165.17
1/6/2027 17:00,2027,1,6,17,18," 15,485 ",5.64
1/6/2027 18:00,2027,1,6,18,19," 15,716 ",0.00
1/6/2027 19:00,2027,1,6,19,20," 15,515 ",0.00
1/6/2027 20:00,2027,1,6,20,21," 15,092 ",0.00
1/6/2027 21:00,2027,1,6,21,22," 14,188 ",0.00
1/6/2027 22:00,2027,1,6,22,23," 13,105 ",0.00
1/6/2027 23:00,2027,1,6,23,24," 12,118 ",0.00
1/7/2027 0:00,2027,1,7,0,1," 11,331 ",0.00
1/7/2027 1:00,2027,1,7,1,2," 11,082 ",0.00
1/7/2027 2:00,2027,1,7,2,3," 10,856 ",0.00
1/7/2027 3:00,2027,1,7,3,4," 10,808 ",0.00
1/7/2027 4:00,2027,1,7,4,5," 11,124 ",0.00
1/7/2027 5:00,2027,1,7,5,6," 12,019 ",0.00
1/7/2027 6:00,2027,1,7,6,7," 13,217 ",0.42
1/7/2027 7:00,2027,1,7,7,8," 13,755 ",248.73
1/7/2027 8:00,2027,1,7,8,9," 14,077 ",1341.54
1/7/2027 9:00,2027,1,7,9,10," 14,264 ",2328.33
1/7/2027 10:00,2027,1,7,10,11," 14,445 ",2954.95
1/7/2027 11:00,2027,1,7,11,12," 14,350 ",3233.02
1/7/2027 12:00,2027,1,7,12,13," 14,139 ",3250.55
1/7/2027 13:00,2027,1,7,13,14," 14,059 ",2947.68
1/7/2027 14:00,2027,1,7,14,15," 13,931 ",2311.80
1/7/2027 15:00,2027,1,7,15,16," 13,754 ",1326.79
1/7/2027 16:00,2027,1,7,16,17," 14,037 ",165.17
1/7/2027 17:00,2027,1,7,17,18," 15,446 ",5.64
1/7/2027 18:00,2027,1,7,18,19," 15,637 ",0.00
1/7/2027 19:00,2027,1,7,19,20," 15,374 ",0.00
1/7/2027 20:00,2027,1,7,20,21," 14,893 ",0.00
1/7/2027 21:00,2027,1,7,21,22," 14,113 ",0.00
1/7/2027 22:00,2027,1,7,22,23," 12,934 ",0.00
1/7/2027 23:00,2027,1,7,23,24," 12,001 ",0.00
1/8/2027 0:00,2027,1,8,0,1," 11,400 ",0.00
1/8/2027 1:00,2027,1,8,1,2," 11,008 ",0.00
1/8/2027 2:00,2027,1,8,2,3," 10,781 ",0.00
1/8/2027 3:00,2027,1,8,3,4," 10,748 ",0.00
1/8/2027 4:00,2027,1,8,4,5," 10,998 ",0.00
1/8/2027 5:00,2027,1,8,5,6," 11,830 ",0.00
1/8/2027 6:00,2027,1,8,6,7," 12,795 ",0.29
1/8/2027 7:00,2027,1,8,7,8," 13,479 ",251.57
1/8/2027 8:00,2027,1,8,8,9," 13,827 ",1372.96
1/8/2027 9:00,2027,1,8,9,10," 14,037 ",2379.76
1/8/2027 10:00,2027,1,8,10,11," 14,165 ",3047.13
1/8/2027 11:00,2027,1,8,11,12," 14,202 ",3368.64
1/8/2027 12:00,2027,1,8,12,13," 14,158 ",3424.64
1/8/2027 13:00,2027,1,8,13,14," 14,092 ",3161.50
1/8/2027 14:00,2027,1,8,14,15," 13,933 ",2544.62
1/8/2027 15:00,2027,1,8,15,16," 13,815 ",1505.89
1/8/2027 16:00,2027,1,8,16,17," 13,897 ",398.36
1/8/2027 17:00,2027,1,8,17,18," 15,231 ",12.21
1/8/2027 18:00,2027,1,8,18,19," 15,411 ",0.00
1/8/2027 19:00,2027,1,8,19,20," 15,074 ",0.00
1/8/2027 20:00,2027,1,8,20,21," 14,610 ",0.00
1/8/2027 21:00,2027,1,8,21,22," 13,974 ",0.00
1/8/2027 22:00,2027,1,8,22,23," 13,047 ",0.00
1/8/2027 23:00,2027,1,8,23,24," 12,217 ",0.00
1/9/2027 0:00,2027,1,9,0,1," 11,465 ",0.00
1/9/2027 1:00,2027,1,9,1,2," 11,162 ",0.00
1/9/2027 2:00,2027,1,9,2,3," 10,900 ",0.00
1/9/2027 3:00,2027,1,9,3,4," 10,711 ",0.00
1/9/2027 4:00,2027,1,9,4,5," 10,774 ",0.00
1/9/2027 5:00,2027,1,9,5,6," 11,077 ",0.00
1/9/2027 6:00,2027,1,9,6,7," 11,340 ",0.29
1/9/2027 7:00,2027,1,9,7,8," 11,288 ",251.57
1/9/2027 8:00,2027,1,9,8,9," 11,858 ",1372.96
1/9/2027 9:00,2027,1,9,9,10," 12,286 ",2379.76
1/9/2027 10:00,2027,1,9,10,11," 12,539 ",3047.13
1/9/2027 11:00,2027,1,9,11,12," 12,540 ",3368.64
1/9/2027 12:00,2027,1,9,12,13," 12,437 ",3424.64
1/9/2027 13:00,2027,1,9,13,14," 12,321 ",3161.50
1/9/2027 14:00,2027,1,9,14,15," 12,178 ",2544.62
1/9/2027 15:00,2027,1,9,15,16," 12,077 ",1505.89
1/9/2027 16:00,2027,1,9,16,17," 12,319 ",398.36
1/9/2027 17:00,2027,1,9,17,18," 13,791 ",12.21
