Date,SNL Natural Gas NoCal Border Malin Spot Natural Gas Index (Price/Value),SNL Natural Gas NW Stanfield OR Spot Natural Gas Index (Price/Value),SNL Natural Gas NW Sumas Spot Natural Gas Index (Price/Value),SNL Natural Gas PG&E Gate Spot Natural Gas Index (Price/Value),SNL Natural Gas PG&E South Spot Natural Gas Index (Price/Value),SNL Natural Gas SoCal Border Spot Natural Gas Index (Price/Value),SNL Natural Gas SoCal Citygate Spot Natural Gas Index (Price/Value),SNL Natural Gas West Coast Sta 2 Spot Natural Gas Index (Price/Value)
12/8/2015,2.13,1.91,1.875,2.589,2.214,2.21,2.404,1.296
12/9/2015,2.024,1.87,1.826,2.505,2,2.012,2.127,0.756
12/10/2015,2.119,2,1.924,2.571,2.17,2.171,2.347,0.951
12/11/2015,2.112,2.015,1.97,2.498,2.17,2.148,2.335,0.996
12/14/2015,1.893,1.96,1.905,2.46,1.99,1.913,2.098,0.787
12/15/2015,2.076,2.02,2.02,2.44,1.893,2.053,2.284,0.949
12/16/2015,2.2,2.123,2.097,2.47,1.935,1.961,2.344,0.949
12/17/2015,2.2,2.105,2.13,2.442,2.204,2.323,2.378,0.908
12/18/2015,2.04,1.99,1.99,2.441,1.97,2.278,2.357,0.933
12/21/2015,1.97,1.963,1.986,2.431,1.911,1.975,2.302,0.909
12/22/2015,2.12,2.034,2.026,2.504,2.185,2.174,2.406,0.976
12/23/2015,2.072,2.023,2.039,2.455,2.023,2.03,2.476,0.977
12/24/2015,2.118,2.08,2.085,2.473,1.998,2.091,2.506,0.836
12/28/2015,2.393,2.337,2.13,2.542,2.1,2.278,2.576,0.824
12/29/2015,2.745,2.69,2.665,2.782,2.65,2.964,2.813,1.083
12/30/2015,2.917,2.86,2.914,2.955,2.8,3.006,3.017,1.307
12/31/2015,2.653,2.653,2.657,2.793,2.64,2.648,2.744,1.308
1/4/2016,2.588,2.591,2.595,2.836,2.565,2.585,2.713,1.239
1/5/2016,2.559,2.474,2.523,2.847,2.616,2.629,2.673,1.282
1/6/2016,2.487,2.52,2.59,2.763,2.5,2.511,2.698,1.255
1/7/2016,2.485,2.515,2.533,2.83,2.55,2.569,2.711,1.331
1/8/2016,2.506,2.482,2.485,2.791,2.5,2.518,2.72,1.385
1/11/2016,2.617,2.517,2.548,2.829,2.63,2.666,2.801,1.398
1/12/2016,2.495,2.49,2.485,2.828,2.57,2.571,2.76,1.414
1/13/2016,2.342,2.35,2.31,2.653,2.376,2.382,2.621,1.511
